Design,Location,Stitches,Colors,Stops,Width,Height,ThumbNail,
ben10,D:\Bordados\Backup\Abel\a\ben10.EMB,3807,6,6,"81,15","88,71",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\ben10-EMB-tn.PNG,
f2,D:\Bordados\Backup\Abel\a\f2.EMB,4074,3,3,"85,14","135,07",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\f2-EMB-tn.PNG,
Fa,D:\Bordados\Backup\Abel\Fa.EMB,3807,5,5,"76,93","150,25",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\Fa-EMB-tn.PNG,
Fd,D:\Bordados\Backup\Abel\Fd.EMB,2051,5,5,"55,18","114,27",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\Fd-EMB-tn.PNG,
Fdder,D:\Bordados\Backup\Abel\Fdder.EMB,1635,2,2,"85,09","97,82",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\Fdder-EMB-tn.PNG,
Fdiz,D:\Bordados\Backup\Abel\Fdiz.EMB,1635,2,2,"85,09","97,82",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\Fdiz-EMB-tn.PNG,
Fi,D:\Bordados\Backup\Abel\Fi.EMB,2006,5,5,"55,16","114,29",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\Fi-EMB-tn.PNG,
flor,D:\Bordados\Backup\Abel\flor.EMB,3694,6,6,"75,00","120,31",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\flor-EMB-tn.PNG,
flores,D:\Bordados\Backup\Abel\flores.EMB,2126,4,4,"120,16","30,11",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\flores-EMB-tn.PNG,
panda,D:\Bordados\Backup\Abel\panda.EMB,3568,5,5,"75,46","73,76",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\panda-EMB-tn.PNG,
PuXL,D:\Bordados\Backup\Berno\PuXL.EMB,4264,7,7,"104,97","115,06",C:\Documents and Settings\RL\Configuración local\Temp\Wilcom Design Explorer\Cache\D\C07941CB\Bordados\Backup\Abel\PuXL-EMB-tn.PNG,
